id,detail_url,address_raw,sanitized_address,geocoding_query,province,district,granularity,provenance,latitude,longitude,geocoding_status,geocoding_provider,geocoding_result_type,geocoding_display_name,candidate_count,admin_validation,spatial_precision,diagnostic_distance_to_center_km,validation_reason
124430,https://batdongsan.vn/ban-toa-van-phong-9-tang-mat-pho-ton-duc-thangvi-tri-lo-gocdt-110m2-gia-70-ty-r124430,Phố Tôn Đức Thắng.Vị Trí Lô Góc.DT 110m2. Giá 70 TỶ,Phố Tôn Đức Thắng Vị Trí Lô Góc,"Phố Tôn Đức Thắng Vị Trí Lô Góc, Đống Đa, Thành phố Hà Nội, Việt Nam",Hà Nội,Đống Đa,STREET_LEVEL,title,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
116538,https://batdongsan.vn/duong-lang-dong-da55m2-5-tang-long-lay-o-to-tranh-kinh-doanh-dinh-cao-gia-16-ty-r116538,ĐƯỜNG LÁNG,ĐƯỜNG LÁNG,"ĐƯỜNG LÁNG, Đống Đa, Thành phố Hà Nội, Việt Nam",Hà Nội,Đống Đa,STREET_LEVEL,title,21.0064769,105.8162687,EXACT_MATCH,Nominatim,highway/primary,"Đường Láng, Thịnh Quang, Phường Đống Đa, Thành phố Hà Nội, 11527, Việt Nam",1,ADMIN_MATCH,STREET,4.64,Valid coordinate within ADMIN_MATCH (STREET)
192177,https://batdongsan.vn/mat-tien-hiem-tan-phu-4x15-60m2-3-tang-kien-co-gia-nhinh-7ty-r192177,"Nằm sát trục đường Nguyễn Sơn, Phường Phú Thạnh, Quận Tân Phú – tuyến đường kinh doanh sầm uất, khu dân cư đông đúc, phù hợp vừa ở",Nằm sát trục đường Nguyễn Sơn Phường Phú Thạnh Quận Tân Phú tuyến đường sầm uất khu dân cư đông đúc phù hợp vừa ở,"Nằm sát trục đường Nguyễn Sơn Phường Phú Thạnh Quận Tân Phú tuyến đường sầm uất khu dân cư đông đúc phù hợp vừa ở, Thành phố Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Tân Phú,PROJECT_OR_RESIDENTIAL_AREA,dedicated_address,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
156507,https://batdongsan.vn/ban-nha-dien-bien-phu-quan-3-hem-rong-4m-gia-385-ty-r156507,hẻm 4 m,hẻm 4 m,"hẻm 4 m, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Quận 3,ALLEY_OR_LANE,dedicated_address,10.7525279,106.6827742,STREET_MATCH,Nominatim,highway/residential,"Hẻm 3 Nguyễn Biểu, Khu phố 3, Phường Chợ Quán, Thành phố Hồ Chí Minh, 72722, Việt Nam",5,ADMIN_MATCH,STREET,3.36,Valid coordinate within ADMIN_MATCH (STREET)
142657,https://batdongsan.vn/ban-nha-khuong-hathanh-xuantruoc-nha-25mthang-maygan-o-to43m2115-tyctl-r142657,"BÁN NHÀ KHƯƠNG HẠ,THANH XUÂN,TRƯỚC NHÀ 2,5M,THANG MÁY,GẦN Ô TÔ,43M2,11.5 TỶ(CTL)",KHƯƠNG HẠ THANH XUÂN,"KHƯƠNG HẠ THANH XUÂN, Thành phố Hà Nội, Việt Nam",Hà Nội,Thanh Xuân,STREET_LEVEL,title,20.9999984,105.8279102,STREET_MATCH,Nominatim,amenity/atm,"BIDV, 36, Phố Lê Trọng Tấn, Khương Trung, Phương Liệt, Phường Phương Liệt, Thành phố Hà Nội, 11412, Việt Nam",2,ADMIN_PARTIAL_MATCH,UNKNOWN,4.18,Valid coordinate within ADMIN_PARTIAL_MATCH (UNKNOWN)
101016,https://batdongsan.vn/ban-nha-ngo-73-hoang-ngan-phuong-nhan-chinh-tang-1-de-o-to-mat-tien-5m-gia-77-ty-r271199,"ngõ 73 Hoàng Ngân, phường Nhân Chính",ngõ 73 Hoàng Ngân phường Nhân Chính,"ngõ 73 Hoàng Ngân phường Nhân Chính, Thanh Xuân, Thành phố Hà Nội, Việt Nam",Hà Nội,Thanh Xuân,ALLEY_OR_LANE,title,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
92765,https://batdongsan.vn/36-ty-20m-ra-pho-ho-khau-tran-quoc-vuong-cau-giay-32m2-x-5-tang-r262940,phố - Hổ khẩu Trần Quốc Vượng - Cầu Giấy - 32M2 x 5 Tầng,phố Hổ khẩu Trần Quốc Vượng Cầu Giấy x,"phố Hổ khẩu Trần Quốc Vượng Cầu Giấy x, Thành phố Hà Nội, Việt Nam",Hà Nội,Cầu Giấy,STREET_LEVEL,title,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
109964,https://batdongsan.vn/ban-nha-dai-mo-nam-tu-liem-mat-tien-4m-duong-nhua-oto-do-cua-5-tang-full-noi-thatdien-tich-35m-chi-hon-4-ty-r280158,MẶT TIỀN 4m ĐƯỜNG NHỰA,ĐƯỜNG NHỰA,"ĐƯỜNG NHỰA, Nam Từ Liêm, Thành phố Hà Nội, Việt Nam",Hà Nội,Nam Từ Liêm,HOUSE_LEVEL,title,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
195060,https://batdongsan.vn/ban-nha-dong-tien-yen-duyen-7-tang-thang-may-long-lanh-vf3-thong-50m-ra-pho-hoang-mai-r195060,phố hoàng mai,phố hoàng mai,"phố hoàng mai, Thành phố Hà Nội, Việt Nam",Hà Nội,Hoàng Mai,STREET_LEVEL,title,20.9939936,105.8500159,STREET_MATCH,Nominatim,office/company,"Công Ty Cổ Phần Công Nghệ Heyu Việt Nam, 67A, Đường Trương Định, Hoàng Mai, Kẻ Mơ, Phường Tương Mai, Thành phố Hà Nội, 11715, Việt Nam",5,ADMIN_MATCH,UNKNOWN,3.86,Valid coordinate within ADMIN_MATCH (UNKNOWN)
88987,https://batdongsan.vn/go-vap-quang-trung-phuong-11-84m2-ngang-hon-5m-4-tang-chi-79-ty-r259157,"đường Quang Trung, Phường 11, Gò Vấp",đường Quang Trung Phường 11 Gò Vấp,"đường Quang Trung Phường 11 Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Gò Vấp,STREET_AND_WARD,dedicated_address,10.8322134,106.6704065,STREET_MATCH,Nominatim,highway/residential,"Hẻm 312 Đường Quang Trung, Khu phố 9, Phường Gò Vấp, Thành phố Hồ Chí Minh, 72100, Việt Nam",5,ADMIN_MATCH,STREET,6.99,Valid coordinate within ADMIN_MATCH (STREET)
152802,https://batdongsan.vn/nha-dep-o-ngay-tang-noi-that-gan-otochu-nha-lam-chuyen-noi-lam-an-nen-ban-lai-r152802,NHÀ ĐẸP Ở NGAY - TẶNG NỘI THẤT - GẦN OTO.Chủ nhà làm chuyển nơi làm ăn nên bán lại.,TẶNG NỘI THẤT GẦN OTO Chủ nhà làm chuyển nơi làm ăn nên bán lại,"TẶNG NỘI THẤT GẦN OTO Chủ nhà làm chuyển nơi làm ăn nên bán lại, Bắc Từ Liêm, Thành phố Hà Nội, Việt Nam",Hà Nội,Bắc Từ Liêm,STREET_LEVEL,title,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
117956,https://batdongsan.vn/binh-thanh-nguyen-van-dau-hem-xe-hoi-thong-tu-tung-qua-cho-hoang-hoa-tham-ngang-4m-khu-dan-cu-r117956,HẺM XE HƠI THÔNG TỨ TUNG QUA CHỢ HOÀNG HOA THÁM,Hẻm THÔNG TỨ TUNG QUA CHỢ HOÀNG HOA THÁM,"Hẻm THÔNG TỨ TUNG QUA CHỢ HOÀNG HOA THÁM, Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Bình Thạnh,ALLEY_OR_LANE,title,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
85293,https://batdongsan.vn/ban-nha-dat-dich-vu-kdt-van-khe-o-to-vao-nha-50m2-5-tang-thiet-ke-hop-ly-nhinh-8-ty-r255458,"Bán nhà đất dịch vụ KĐT Văn Khê, ô tô vào nhà, 50m2, 5 tầng, thiết kế hợp lý, nhỉnh 8 tỷ",dịch vụ KĐT Văn Khê thiết kế hợp lý,"dịch vụ KĐT Văn Khê thiết kế hợp lý, Hà Đông, Thành phố Hà Nội, Việt Nam",Hà Nội,Hà Đông,PROJECT_OR_RESIDENTIAL_AREA,title,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
176471,https://batdongsan.vn/ban-nha-mat-pho-kim-dong-50m2-6-tang-thang-may-o-to-do-trong-nha-21-ty-r176471,"Mặt phố Kim Đồng, quận Hoàng Mai, Hà Nội✨ Tuyến phố kinh doanh sầm uất, giao thông thuận lợi, thông Giải Phóng – Trương Định – Giáp",Mặt phố Kim Đồng quận Hoàng Mai Hà Nội Tuyến phố sầm uất giao thông thuận lợi thông Giải Phóng Trương Định Giáp,"Mặt phố Kim Đồng quận Hoàng Mai Hà Nội Tuyến phố sầm uất giao thông thuận lợi thông Giải Phóng Trương Định Giáp, Việt Nam",Hà Nội,Quận Hoàng Mai,STREET_LEVEL,dedicated_address,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
185511,https://batdongsan.vn/gan-nha-ga-t3-nha-dep-72m2-4-tang-o-to-ngu-trong-nha-6x-ty-tl-r185511,Gần nhà ga T3! Nhà Đẹp 72M² 4 Tầng Ô TÔ NGỦ TRONG NHÀ – 6.x Tỷ TL!,Gần nhà ga T3 72M²,"Gần nhà ga T3 72M², Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Gò Vấp,STREET_LEVEL,title,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
138008,https://batdongsan.vn/thuy-khue-tay-ho-41m2-7-tang-mt-41m-gia-148-ty-nha-moi-thang-may-phan-lo-o-to-7c-ngo-r138008,"THỤY KHUÊ, TÂY HỒ. 41M2 7 TẦNG MT 4.1M GIÁ 14,8 TỶ-NHÀ MỚI - THANG MÁY - PHÂN LÔ - Ô TÔ 7C - NGÕ",THỤY KHUÊ TÂY HỒ MT 4,"THỤY KHUÊ TÂY HỒ MT 4, Thành phố Hà Nội, Việt Nam",Hà Nội,Tây Hồ,ALLEY_OR_LANE,description,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
192031,https://batdongsan.vn/toa-nha-9-tang-2-mat-tien-dang-cap-sieu-pham-10m-ra-mat-pho-truong-chinh-gara-4-o-to-r192031,MẶT TIỀN  ĐẲNG CẤP- SIÊU PHẨM 10M RA MẶT PHỐ TRƯỜNG CHINH – GARA 4 Ô TÔ,ĐẲNG CẤP RA MẶT PHỐ TRƯỜNG CHINH,"ĐẲNG CẤP RA MẶT PHỐ TRƯỜNG CHINH, Đống Đa, Thành phố Hà Nội, Việt Nam",Hà Nội,Đống Đa,STREET_LEVEL,title,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
113321,https://batdongsan.vn/ban-nha-lien-ke-pho-khuat-duy-tien-thong-sang-duong-nguyen-trai-o-to-do-cua-73m2-nha-dep-5-tang-gia-92-ty-r283515,phố Khuất Duy Tiến thông sang đường Nguyễn Trãi,phố Khuất Duy Tiến thông sang đường Nguyễn Trãi,"phố Khuất Duy Tiến thông sang đường Nguyễn Trãi, Thanh Xuân, Thành phố Hà Nội, Việt Nam",Hà Nội,Thanh Xuân,STREET_LEVEL,title,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
110807,https://batdongsan.vn/nha-hxh-xvnt-phuong-21-quan-binh-thanh-19m2x25t-sat-quan-1-2ty-hon-r281001,"✨Nhà HXH X.V.N.T, phường 21, quận Bình Thạnh-19m2x2,5T-Sát Quận 1- 2tỷ hơn✨",Nhà Hẻm X V N T phường 21 quận Bình Thạnh 19m2x2 5T,"Nhà Hẻm X V N T phường 21 quận Bình Thạnh 19m2x2 5T, Thành phố Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Quận Bình Thạnh,ALLEY_OR_LANE,description,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
161276,https://batdongsan.vn/hoa-haube-van-danquang-trungha-dong40m-5-tang-gia-hon-8-ty-r161276,"Ngay gần Ga Cát Linh Hà Đông, Bệnh viện,siêu thị ,trường",Ngay gần Ga Cát Linh Hà Đông Bệnh viện siêu thị trường,"Ngay gần Ga Cát Linh Hà Đông Bệnh viện siêu thị trường, Thành phố Hà Nội, Việt Nam",Hà Nội,Hà Đông,STREET_LEVEL,dedicated_address,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
135308,https://batdongsan.vn/ban-can-ho-tap-the-tang-1-nhan-hoa-vu-trong-phung-o-to-kd-72m-3pn-4-ty-hon-r135308,"Bán Căn Hộ Tập Thể Tầng 1 Nhân Hoà, Vũ Trọng Phụng, Ô Tô, KD 72m 3PN 4 Tỷ Hơn.",Tập Thể Tầng 1 Nhân Hoà Vũ Trọng Phụng Ô Tô KD,"Tập Thể Tầng 1 Nhân Hoà Vũ Trọng Phụng Ô Tô KD, Thanh Xuân, Thành phố Hà Nội, Việt Nam",Hà Nội,Thanh Xuân,DISTRICT_ONLY_OR_COARSE,title,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
144485,https://batdongsan.vn/san-pham-gia-re-nhat-khu-vuc-hbc-sau-gigamall-chi-50trm2-ful-tho-r144485,"Đường số 22, Phường Hiệp Bình Chánh, TP Thủ Đức",Đường số 22 Phường Hiệp Bình Chánh TP Thủ Đức,"Đường số 22 Phường Hiệp Bình Chánh TP Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Thủ Đức,STREET_AND_WARD,dedicated_address,10.8310876,106.7291249,EXACT_MATCH,Nominatim,building/yes,"Trụ sở Khu phố 5, 22, Đường số 8, Khu phố 37, Phường Hiệp Bình, Thành phố Hồ Chí Minh, 72309, Việt Nam",1,ADMIN_PARTIAL_MATCH,UNKNOWN,6.77,Valid coordinate within ADMIN_PARTIAL_MATCH (UNKNOWN)
103882,https://batdongsan.vn/p15-tan-binh-hxh-7-cho-1-can-ra-mat-tien-45m2-gia-hon-3-ty-r274076,"Cách Mặt tiền Cống Lở 1 căn, oto vô tận cửa",Cách Cống Lở 1 căn oto vô tận cửa,"Cách Cống Lở 1 căn oto vô tận cửa, Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Tân Bình,ALLEY_OR_LANE,dedicated_address,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
111112,https://batdongsan.vn/nha-dep-duong-so-thong-le-van-viet-55m2-2-tang-khu-phan-lo-dep-cho-thue-o-to-dau-r281306,đường số thông Lê Văn Việt,đường số thông Lê Văn Việt,"đường số thông Lê Văn Việt, Quận 9, Thành phố Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Quận 9,STREET_LEVEL,title,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
182575,https://batdongsan.vn/nguyen-khang-51m-chi-79-ty-nha-depfull-noi-thatgan-bai-gui-xengo-thong-r182575,"Nguyễn Khang, Yên Hòa, Cầu Giấy, Hà Nội (ngõ thông các hướng nha, đi lại tiện lợi lắm ạ!)",Nguyễn Khang Yên Hòa Cầu Giấy Hà Nội ngõ thông các hướng nha đi lại tiện lợi lắm ạ,"Nguyễn Khang Yên Hòa Cầu Giấy Hà Nội ngõ thông các hướng nha đi lại tiện lợi lắm ạ, Việt Nam",Hà Nội,Cầu Giấy,ALLEY_OR_LANE,dedicated_address,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
146576,https://batdongsan.vn/sieu-pham-bau-cat-hem-xe-hoi-50m-ra-mat-tien-47m2-4-tang-full-noi-that-gia-chi-58-ty-r146576,HẺM XE HƠI 50M RA MẶT TIỀN,Hẻm RA,"Hẻm RA, Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Tân Bình,ALLEY_OR_LANE,title,,,NO_RESULT,Nominatim,,,0,UNKNOWN,UNKNOWN,,Nominatim returned zero search candidates
